2007	BLANK
263A	WHITE SMILING FACE
263B	BLACK SMILING FACE
2665	BLACK HEART SUIT
2666	BLACK DIAMOND SUIT
2663	BLACK CLUB SUIT
2660	BLACK SPADE SUIT
2022	BULLET
25D8	INVERSE BULLET
25CB	WHITE CIRCLE
25D9	INVERSE WHITE CIRCLE
2642	MALE SIGN
2640	FEMALE SIGN
266A	SIXTEENTH NOTE
266C	BEAMED SIXTEENTH NOTES
263C	WHITE SUN WITH RAYS
25B6	BLACK RIGHT TRIANGLE
25C0	BLACK LEFT TRIANGLE
2195	UP DOWN ARROW
203C	DOUBLE EXCLAMATION MARK
00B6	PARAGRAPH SIGN
00A7	SECTION SIGN
25AC	THICK HORIZONTAL LINE
21A8	UP DOWN ARROW WITH BASE
2191	UP ARROW
2193	DOWN ARROW
2192	RIGHT ARROW
2190	LEFT ARROW
2319	TURNED BEGINNING OF LINE
2194	LEFT RIGHT ARROW
25B2	BLACK UP TRIANGLE
25BC	BLACK DOWN TRIANGLE
0020	SPACE
0021	EXCLAMATION MARK
0022	QUOTATION MARKS
0023	NUMBER SIGN
0024	DOLLAR SIGN
0025	PERCENT SIGN
0026	AMPERSAND
2019	RIGHT SINGLE QUOTATION MARK
0028	LEFT PARENTHESIS
0029	RIGHT PARENTHESIS
002A	ASTERIK
002B	PLUS
002C	COMMA
002D	HYPHEN
002E	PERIOD
002F	FORWARD SLASH
0030	DIGIT ZERO
0031	DIGIT ONE
0032	DIGIT TWO
0033	DIGIT THREE
0034	DIGIT FOUR
0035	DIGIT FIVE
0036	DIGIT SIX
0037	DIGIT SEVEN
0038	DIGIT EIGHT
0039	DIGIT NINE
003A	COLON
003B	SEMICOLON
003C	LESS THAN
003D	EQUALS
003E	GREATER THAN
003F	QUESTION MARK
0040	AT SIGN
0041	UPPERCASE LATIN LETTER A
0042	UPPERCASE LATIN LETTER B
0043	UPPERCASE LATIN LETTER C
0044	UPPERCASE LATIN LETTER D
0045	UPPERCASE LATIN LETTER E
0046	UPPERCASE LATIN LETTER F
0047	UPPERCASE LATIN LETTER G
0048	UPPERCASE LATIN LETTER H
0049	UPPERCASE LATIN LETTER I
004A	UPPERCASE LATIN LETTER J
004B	UPPERCASE LATIN LETTER K
004C	UPPERCASE LATIN LETTER L
004D	UPPERCASE LATIN LETTER M
004E	UPPERCASE LATIN LETTER N
004F	UPPERCASE LATIN LETTER O
0050	UPPERCASE LATIN LETTER P
0051	UPPERCASE LATIN LETTER Q
0052	UPPERCASE LATIN LETTER R
0053	UPPERCASE LATIN LETTER S
0054	UPPERCASE LATIN LETTER T
0055	UPPERCASE LATIN LETTER U
0056	UPPERCASE LATIN LETTER V
0057	UPPERCASE LATIN LETTER W
0058	UPPERCASE LATIN LETTER X
0059	UPPERCASE LATIN LETTER Y
005A	UPPERCASE LATIN LETTER Z
005B	LEFT SQUARE BRACKET
005C	BACKSLASH
005D	RIGHT SQUARE BRACKET
005E	CARET
005F	UNDERLINE
0060	LEFT SINGLE QUOTATION MARK
0061	LOWERCASE LATIN LETTER A
0062	LOWERCASE LATIN LETTER B
0063	LOWERCASE LATIN LETTER C
0064	LOWERCASE LATIN LETTER D
0065	LOWERCASE LATIN LETTER E
0066	LOWERCASE LATIN LETTER F
0067	LOWERCASE LATIN LETTER G
0068	LOWERCASE LATIN LETTER H
0069	LOWERCASE LATIN LETTER I
006A	LOWERCASE LATIN LETTER J
006B	LOWERCASE LATIN LETTER K
006C	LOWERCASE LATIN LETTER L
006D	LOWERCASE LATIN LETTER M
006E	LOWERCASE LATIN LETTER N
006F	LOWERCASE LATIN LETTER O
0070	LOWERCASE LATIN LETTER P
0071	LOWERCASE LATIN LETTER Q
0072	LOWERCASE LATIN LETTER R
0073	LOWERCASE LATIN LETTER S
0074	LOWERCASE LATIN LETTER T
0075	LOWERCASE LATIN LETTER U
0076	LOWERCASE LATIN LETTER V
0077	LOWERCASE LATIN LETTER W
0078	LOWERCASE LATIN LETTER X
0079	LOWERCASE LATIN LETTER Y
007A	LOWERCASE LATIN LETTER Z
007B	LEFT CURLY BRACKET
00A6	BROKEN BAR
007D	RIGHT CURLY BRACKET
007E	TILDE
2302	HOUSE
00C7	LATIN CAPITAL LETTER C WITH CEDILLA
00FC	LATIN SMALL LETTER U WITH DIAERESIS
00E9	LATIN SMALL LETTER E WITH ACUTE
00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX
00E4	LATIN SMALL LETTER A WITH DIAERESIS
00E0	LATIN SMALL LETTER A WITH GRAVE
00E5	LATIN SMALL LETTER A WITH RING ABOVE
00E7	LATIN SMALL LETTER C WITH CEDILLA
00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB	LATIN SMALL LETTER E WITH DIAERESIS
00E8	LATIN SMALL LETTER E WITH GRAVE
00EF	LATIN SMALL LETTER I WITH DIAERESIS
00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX
00EC	LATIN SMALL LETTER I WITH GRAVE
00C4	LATIN CAPITAL LETTER A WITH DIAERESIS
00C5	LATIN CAPITAL LETTER A WITH RING ABOVE
00C9	LATIN CAPITAL LETTER E WITH ACUTE
00E6	LATIN SMALL LETTER AE
00C6	LATIN CAPITAL LETTER AE
00F4	LATIN SMALL LETTER O WITH CIRCUMFLEX
00F6	LATIN SMALL LETTER O WITH DIAERESIS
00F2	LATIN SMALL LETTER O WITH GRAVE
00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX
00F9	LATIN SMALL LETTER U WITH GRAVE
00FF	LATIN SMALL LETTER Y WITH DIAERESIS
00D6	LATIN CAPITAL LETTER O WITH DIAERESIS
00DC	LATIN CAPITAL LETTER U WITH DIAERESIS
00A2	CENT SIGN
00A3	POUND SIGN
00A5	YEN SIGN
20A7	PESETA SIGN
0192	LATIN SMALL LETTER F WITH HOOK
00E1	LATIN SMALL LETTER A WITH ACUTE
00ED	LATIN SMALL LETTER I WITH ACUTE
00F3	LATIN SMALL LETTER O WITH ACUTE
00FA	LATIN SMALL LETTER U WITH ACUTE
00F1	LATIN SMALL LETTER N WITH TILDE
00D1	LATIN CAPITAL LETTER N WITH TILDE
00AA	FEMININE ORDINAL INDICATOR
00BA	MASCULINE ORDINAL INDICATOR
00BF	INVERTED QUESTION MARK
2310	BEGINNING OF LINE
00AC	END OF LINE
00BD	VULGAR FRACTION ONE HALF
00BC	VULGAR FRACTION ONE QUARTER
00A1	INVERTED EXCLAMATION MARK
00AB	LEFT POINTING DOUBLE ANGLE QUOTATION MARK
00BB	RIGHT POINTING DOUBLE ANGLE QUOTATION MARK
2591	LIGHT SHADE 25 FILL
2592	MEDIUM SHADE 50 FILL
2593	DARK SHADE 75 FILL
2502	BOX DRAWINGS LIGHT VERTICAL
2524	BOX DRAWINGS LIGHT VERTICAL AND LEFT
2561	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
2562	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
2556	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
2555	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
2563	BOX DRAWINGS DOUBLE VERTICAL AND LEFT
2551	BOX DRAWINGS DOUBLE VERTICAL
2557	BOX DRAWINGS DOUBLE DOWN AND LEFT
255D	BOX DRAWINGS DOUBLE UP AND LEFT
255C	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
255B	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
2510	BOX DRAWINGS LIGHT DOWN AND LEFT
2514	BOX DRAWINGS LIGHT UP AND RIGHT
2534	BOX DRAWINGS LIGHT UP AND HORIZONTAL
252C	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
251C	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
2500	BOX DRAWINGS LIGHT HORIZONTAL
253C	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
255E	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
255F	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
255A	BOX DRAWINGS DOUBLE UP AND RIGHT
2554	BOX DRAWINGS DOUBLE DOWN AND RIGHT
2569	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
2566	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
2560	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
2550	BOX DRAWINGS DOUBLE HORIZONTAL
256C	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
2567	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
2568	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
2564	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
2565	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
2559	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
2558	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
2552	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
2553	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
256B	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
256A	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
2518	BOX DRAWINGS LIGHT UP AND LEFT
250C	BOX DRAWINGS LIGHT DOWN AND RIGHT
2588	FULL BLOCK 100 FILL
2584	LOWER HALF BLOCK
258C	LEFT HALF BLOCK
2590	RIGHT HALF BLOCK
2580	UPPER HALF BLOCK
03B1	GREEK SMALL LETTER ALPHA
03B2	GREEK SMALL LETTER BETA
0393	GREEK CAPITAL LETTER GAMMA
03C0	GREEK SMALL LETTER PI
03A3	GREEK CAPITAL LETTER SIGMA
03C3	GREEK SMALL LETTER SIGMA
03BC	GREEK SMALL LETTER MU
03B3	GREEK SMALL LETTER GAMMA
03A6	GREEK CAPITAL LETTER PHI
03B8	GREEK SMALL LETTER THETA
03A9	GREEK CAPITAL LETTER OMEGA
03B4	GREEK SMALL LETTER DELTA
221E	INFINITY
2205	EMPTY SET
2208	ELEMENT OF
2229	INTERSECTION
2261	IDENTICAL TO
00B1	PLUS MINUS SIGN
2265	GREATER THAN OR EQUAL TO
2264	LESS THAN OR EQUAL TO
2320	TOP HALF INTEGRAL
2321	BOTTOM HALF INTEGRAL
00F7	DIVISION SIGN
2248	ALMOST EQUAL TO
00B0	DEGREE SIGN
2219	BULLET OPERATOR
22C5	DOT OPERATOR
221A	SQUARE ROOT
207F	SUPERSCRIPT LATIN SMALL LETTER N
00B2	SUPERSCRIPT TWO
220E	END OF PROOF
00A0	NON BREAKING SPACE
